lat_suburb,long_suburb,suburb,region,state
-27.55873,152.27618,Gatton,Lockyer Valley,Queensland
-34.60251,138.74902,Gawler,Gawler,South Australia
-25.62522,151.61144,Gayndah,North Burnett,Queensland
-38.14711,144.36069,Geelong,Greater Geelong,Victoria
-43.16337,146.92549,Geeveston,Huon Valley,Tasmania
-37.95321,145.55536,Gembrook,Cardinia,Victoria
-41.10559,146.82606,George Town,George Town,Tasmania
-28.77897,114.61459,Geraldton,Geraldton-Greenough,Western Australia
-29.8527,151.11806,Gilgai,Inverell,New South Wales
-31.71173,148.66252,Gilgandra,Gilgandra,New South Wales
-23.84852,151.25775,Gladstone,Gladstone,Queensland
-34.086,150.78512,Glen Alpine,Campbelltown Municipality,New South Wales
-29.73485,151.7385,Glen Innes,Glen Innes Severn,New South Wales
-33.33713,115.6743,Glen Iris,Bunbury,Western Australia
-33.76667,150.61667,Glenbrook,Blue Mountains Municipality,New South Wales
-32.93194,151.64103,Glendale,Lake Macquarie Shire,New South Wales
-33.7483,150.85411,Glendenning,Blacktown,New South Wales
-33.96667,150.9,Glenfield,Campbelltown Municipality,New South Wales
-33.7,151,Glenhaven,The Hills Shire,New South Wales
-33.79068,150.6693,Glenmore Park,Penrith Municipality,New South Wales
-33.60177,151.00886,Glenorie,Hornsby Shire,New South Wales
-32.0077,151.9633,Gloucester,Gloucester Shire,New South Wales
-34.18056,142.2265,Gol Gol,Wentworth,New South Wales
-34.78333,138.73333,Golden Grove,Tea Tree Gully,South Australia
-36.77265,144.25271,Golden Square,Greater Bendigo,Victoria
-27.63038,152.88874,Goodna,Ipswich,Queensland
-35.50261,138.78462,Goolwa,Alexandrina,South Australia
-28.54709,150.30546,Goondiwindi,Goondiwindi,Queensland
-28.81667,153.31667,Goonellabah,Lismore Municipality,New South Wales
-31.95444,116.0492,Gooseberry Hill,Kalamunda,Western Australia
-29.3,152.71667,Gordon,Clarence Valley,New South Wales
-33.4244,151.34399,Gosford,Gosford Shire,New South Wales
-32.081,116.0054,Gosnells,Gosnells,Western Australia
-34.75155,149.72086,Goulburn,Goulburn Mulwaree,New South Wales
-29.69012,152.93337,Grafton,Clarence Valley,New South Wales
-42.75149,147.22795,Granton,Glenorchy,Tasmania
-35.01806,117.75556,Grasmere,Albany,Western Australia
-34.05873,151.08604,Grays Point,Sutherland Shire,New South Wales
-31.90072,116.0495,Greenmount,Mundaring,Western Australia
-37.63333,144.86667,Greenvale,Hume,Victoria
-34.90746,150.73311,Greenwell Point,Shoalhaven Shire,New South Wales
-33.89549,148.16438,Grenfell,Weddin,New South Wales
-32.67783,151.38924,Greta,Cessnock,New South Wales
-34.28853,146.05093,Griffith,Griffith,New South Wales
-33.85242,150.97395,Guildford West,Holroyd,New South Wales
-32.36253,149.53201,Gulgong,Mid-Western Regional,New South Wales
-34.82388,138.88467,Gumeracha,Adelaide Hills,South Australia
-35.06525,148.10802,Gundagai,Gundagai,New South Wales
-35.03333,149.25,Gundaroo,Yass Valley,New South Wales
-30.98065,150.25838,Gunnedah,Gunnedah,New South Wales
-30.21674,151.67444,Guyra,Guyra,New South Wales
-34.03637,151.08528,Gymea,Sutherland Shire,New South Wales
-26.18979,152.66499,Gympie,Gympie Regional Council,Queensland
-35.15,138.51667,Hackham,Onkaparinga,South Australia
-35.02863,138.80779,Hahndorf,Mount Barker,South Australia
-18.22485,127.66647,Halls Creek,Halls Creek,Western Australia
-37.74425,142.02202,Hamilton,Southern Grampians,Victoria
-38.12108,144.32799,Hamlyn Heights,Greater Geelong,Victoria
-32.16853,115.8504,Hammond Park,City of Cockburn,Western Australia
-38.03333,145.25,Hampton Park,Casey,Victoria
-31.87227,152.69174,Harrington,Greater Taree,New South Wales
-32.11084,115.93563,Harrisdale,Armadale,Western Australia
-33.07988,115.89447,Harvey,Harvey,Western Australia
-38.3,145.18333,Hastings,Mornington Peninsula,Victoria
-32.66755,152.17831,Hawks Nest,Great Lakes,New South Wales
-34.50429,144.84474,Hay,Hay,New South Wales
-33.72446,150.45839,Hazelbrook,Blue Mountains Municipality,New South Wales
-37.65395,145.51718,Healesville,Yarra Ranges,Victoria
-34.0841,151.01305,Heathcote,Sutherland Shire,New South Wales
-37.96667,145.1,Heatherton,Kingston,Victoria
-35.01667,138.71667,Heathfield,Adelaide Hills,South Australia
-32.80204,151.51327,Heddon Greta,Cessnock,New South Wales
-34.17836,150.99522,Helensburgh,Wollongong,New South Wales
-31.81393,115.98807,Henley Brook,Swan,Western Australia
-35.51745,147.03716,Henty,Greater Hume Shire,New South Wales
-37.9813,146.78559,Heyfield,Wellington,Victoria
-27.37227,152.80195,Highvale,Moreton Bay,Queensland
-32.28327,115.76364,Hillman,Rockingham,Western Australia
-37.69047,144.74172,Hillside,Melton,Victoria
-33.48094,145.53435,Hillston,Carrathool,New South Wales
-35.72189,147.31387,Holbrook,Greater Hume Shire,New South Wales
